date,equity,equity_mtm,risk_committed,risk_scale,open_positions
2024-09-25,94682.93401168997,94682.93401168997,0,2.0,0
2024-09-26,94682.93401168997,94682.93401168997,0,2.0,0
2024-09-27,94682.93401168997,94668.27443644997,926.0,2.0,1
2024-09-30,94727.41701848997,94663.72230132198,6862.84,2.0,2
2024-10-01,94937.85644400796,94527.59266626397,6883.0,2.0,2
2024-10-02,94937.85644400796,94759.43266626397,6883.0,2.0,2
2024-10-03,94566.19756595997,94500.94623773597,6842.119999999999,2.0,2
2024-10-04,95177.31276977596,95177.31276977596,0,2.0,0
2024-10-07,95177.31276977596,94982.54928903996,10195.76,2.0,3
2024-10-08,95581.57926357396,95576.10559126997,6968.91,2.0,2
2024-10-09,95581.57926357396,95847.82559126997,6968.91,2.0,2
2024-10-10,96116.74551860197,96116.74551860197,0,2.0,0
2024-10-11,96116.74551860197,96051.34421453797,3696.16,2.0,1
2024-10-14,96297.79952152996,96297.79952152996,0,2.0,0
2024-10-15,96297.79952152996,96163.15561903396,7362.240000000001,2.0,2
2024-10-16,96459.49223008996,96511.84855301796,3668.4800000000005,2.0,1
2024-10-17,96677.42429146597,96677.42429146597,0,2.0,0
2024-10-18,96677.42429146597,96677.42429146597,0,2.0,0
2024-10-21,96677.42429146597,96623.06557613797,3698.6400000000003,2.0,1
2024-10-22,96677.42429146597,96654.98557613797,3698.6400000000003,2.0,1
2024-10-23,96141.75095964197,96141.75095964197,0,2.0,0
2024-10-24,96141.75095964197,96141.75095964197,0,2.0,0
2024-10-25,96141.75095964197,96084.03094994597,3660.32,2.0,1
2024-10-28,96387.68819848997,96240.08019716197,7280.719999999999,2.0,2
2024-10-29,96625.61443520997,96632.48902261797,7382.08,2.0,2
2024-10-30,96252.01247426597,96202.96878749797,7279.36,2.0,2
2024-10-31,94245.91086268197,94189.15128444196,3675.84,2.0,1
2024-11-01,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-04,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-05,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-06,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-07,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-08,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-11,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-12,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-13,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-14,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-15,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-18,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-19,94550.96874871396,94550.96874871396,0,2.0,0
2024-11-20,94550.96874871396,94471.64356154596,3647.1199999999994,2.0,1
2024-11-21,94799.53606407395,94799.53606407395,0,2.0,0
2024-11-22,94799.53606407395,94799.53606407395,0,2.0,0
2024-11-25,94799.53606407395,94799.53606407395,0,2.0,0
2024-11-26,94799.53606407395,94799.53606407395,0,2.0,0
2024-11-27,94799.53606407395,94799.53606407395,0,2.0,0
2024-11-29,94799.53606407395,94799.53606407395,0,2.0,0
2024-12-02,94799.53606407395,94799.53606407395,0,2.0,0
2024-12-03,94799.53606407395,94799.53606407395,0,2.0,0
2024-12-04,94799.53606407395,94799.53606407395,0,2.0,0
2024-12-05,94799.53606407395,94799.53606407395,0,2.0,0
2024-12-06,94799.53606407395,94799.53606407395,0,2.0,0
2024-12-09,94799.53606407395,94782.47541019395,887.2,2.0,1
2024-12-10,94799.53606407395,94824.87541019396,887.2,2.0,1
2024-12-11,94799.53606407395,94846.67541019396,887.2,2.0,1
2024-12-12,94885.21907087395,94885.21907087395,0,2.0,0
2024-12-13,94885.21907087395,94885.21907087395,0,2.0,0
2024-12-16,94885.21907087395,94885.21907087395,0,2.0,0
2024-12-17,94885.21907087395,94885.21907087395,0,2.0,0
2024-12-18,94885.21907087395,94885.21907087395,0,2.0,0
2024-12-19,94885.21907087395,94607.69909179395,1957.4000000000003,2.0,1
2024-12-20,94931.03789859395,94867.55681025794,3679.2000000000003,2.0,1
2024-12-23,95256.97405880195,95256.97405880195,0,2.0,0
2024-12-24,95256.97405880195,95256.97405880195,0,2.0,0
2024-12-26,95256.97405880195,95256.97405880195,0,2.0,0
2024-12-27,95256.97405880195,95256.97405880195,0,2.0,0
2024-12-30,95256.97405880195,95256.97405880195,0,2.0,0
2024-12-31,95256.97405880195,95256.97405880195,0,2.0,0
2025-01-02,95256.97405880195,95256.97405880195,0,2.0,0
2025-01-03,95256.97405880195,95256.97405880195,0,2.0,0
2025-01-06,95256.97405880195,95256.97405880195,0,2.0,0
2025-01-07,95256.97405880195,95256.97405880195,0,2.0,0
2025-01-08,95256.97405880195,95256.97405880195,0,2.0,0
2025-01-10,95256.97405880195,95222.03429376194,3696.8,2.0,1
2025-01-13,95256.97405880195,95402.53429376194,3696.8,2.0,1
2025-01-14,95558.83429376195,95403.60150648795,7238.200000000001,2.0,2
2025-01-15,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-16,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-17,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-21,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-22,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-23,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-24,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-27,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-28,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-29,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-30,96199.50965360194,96199.50965360194,0,2.0,0
2025-01-31,96199.50965360194,96087.44487811594,6947.02,2.0,2
2025-02-03,96199.50965360194,95744.21779755595,8769.42,2.0,3
2025-02-04,96850.11714367593,96777.03346660393,3651.9999999999995,2.0,1
2025-02-05,97067.08877359593,97067.08877359593,0,2.0,0
2025-02-06,97067.08877359593,97016.57070545193,3680.7200000000003,2.0,1
2025-02-07,97067.08877359593,96793.33608895593,7296.08,2.0,2
2025-02-10,97749.87312177193,97749.87312177193,0,2.0,0
2025-02-11,97749.87312177193,97688.79289634794,3702.0000000000005,2.0,1
2025-02-12,97749.87312177193,97693.11289634793,3702.0000000000005,2.0,1
2025-02-13,97974.04798761194,97974.04798761194,0,2.0,0
2025-02-14,97974.04798761194,97974.04798761194,0,2.0,0
2025-02-18,97974.04798761194,97974.04798761194,0,2.0,0
2025-02-19,97974.04798761194,97974.04798761194,0,2.0,0
2025-02-20,97974.04798761194,97974.04798761194,0,2.0,0
2025-02-21,97974.04798761194,97974.04798761194,0,2.0,0
2025-02-24,97974.04798761194,97900.96409481193,3636.0,2.0,1
2025-02-25,97974.04798761194,97873.84409481194,3636.0,2.0,1
2025-02-26,97974.04798761194,97898.96409481193,3636.0,2.0,1
2025-02-27,97202.04473229994,97143.36472260393,3676.8,2.0,1
2025-02-28,97495.98132396393,97432.50023562793,3679.2000000000003,2.0,1
2025-03-03,96787.42065738793,96687.45007701994,3601.4399999999996,2.0,1
2025-03-04,96362.76316402793,96243.58762191593,3563.04,2.0,1
2025-03-05,96599.40141881193,96509.03342717994,3628.64,2.0,1
2025-03-06,95823.13033458793,95732.28212722793,3620.8800000000006,2.0,1
2025-03-07,96123.53872858793,95964.88598124393,7118.24,2.0,2
2025-03-10,92635.10866852393,92635.10866852393,0,1.8497689878363186,0
2025-03-11,92635.10866852393,92635.10866852393,0,1.8479762173448042,0
2025-03-12,92635.10866852393,92521.54813966392,3506.1000000000004,1.940326985762083,1
2025-03-13,92635.10866852393,92361.74813966393,3506.1000000000004,1.943644288202565,1
2025-03-14,93071.81889136393,93013.33199525993,3199.7699999999995,1.8802470506360094,1
2025-03-17,93362.12208773593,93362.12208773593,0,1.8742617376156696,0
2025-03-18,93362.12208773593,93362.12208773593,0,1.8742617376156696,0
2025-03-19,93362.12208773593,93362.12208773593,0,1.8742617376156696,0
2025-03-20,93362.12208773593,93362.12208773593,0,1.8742617376156696,0
2025-03-21,93362.12208773593,93362.12208773593,0,1.8742617376156696,0
2025-03-24,93362.12208773593,93362.12208773593,0,1.8742617376156696,0
2025-03-25,93362.12208773593,93362.12208773593,0,1.8742617376156696,0
2025-03-26,93362.12208773593,93362.12208773593,0,1.8736535678183361,0
2025-03-27,93362.12208773593,93362.12208773593,0,1.8743077612508212,0
